Values: 
First vector  Second vector
-0.72905     0.67002
0.93774     -0.55793
-0.38367     0.094441
-0.62324     0.98576
0.99292     0.93539
0.45168     0.96222
-0.78028     0.59621
-0.40594     -0.99043
-0.77507     0.27953
0.75686     0.0073254
0.59586     -0.27741
-0.57615     0.36272
-0.20252     0.48129
-0.050483     -0.15582
-0.65227     -0.39617
0.59456     -0.3669
0.74486     -0.70177
0.98814     0.64381
-0.74963     0.5275
-0.018822     0.32721
Using Farey fractions: -1.2849
Using long double: -1.2849
