Values: 
First vector      Second vector
-3.64523     3.3500859
4.6886777     -2.7896596
-1.9183295     0.47220596
-3.1161802     4.928813
4.9646133     4.6769494
2.2583896     4.8110969
-3.9013825     2.9810586
-2.0297055     -4.9521652
-3.8753548     1.3976336
3.7843065     0.036626777
2.9792862     -1.38706
-2.8807567     1.8135954
-1.0126148     2.4064724
-0.25241319     -0.77912319
-3.2613483     -1.9808687
2.9727992     -1.8344956
3.7242882     -3.5088602
4.9406849     3.2190326
-3.7481724     2.6375001
-0.094109604     1.6360552
-3.7410337     -2.8979093
-4.4878357     -4.6355875
-0.91268839     -0.42010845
-0.12431073     2.9397497
4.2087479     3.0753103
2.0577425     -4.9718157
2.1070388     1.4396096
-0.43967176     2.7391713
0.73754667     3.7675742
3.0817549     -4.822261
3.2124599     3.2084078
4.4007403     -0.87333485
-0.76834884     0.80956678
-3.4194242     2.6173121
-2.6984394     3.0973455
4.885216     -1.6755172
-2.0016829     -4.8646087
-2.8276216     4.0736472
3.4846779     4.5501757
2.7889771     4.8745963
-4.3240462     2.9359758
0.94503561     2.3279873
1.9523288     1.7981979
-1.0767953     0.61557442
-2.9193194     0.27371459
-0.95791482     -1.4723759
0.92823879     -1.4365484
4.6496637     -3.4556158
-1.0509179     -1.1270409
2.2695472     -1.1143019
4.2749284     -0.63882435
3.6267819     1.2036001
-3.8045282     -0.28043198
-1.597803     0.29841988
2.1610071     4.883794
2.2049346     4.1257749
0.054985053     0.58268756
0.031900211     -0.37525794
0.46591962     -0.52415598
3.5445099     1.0423148
-0.014558136     4.799256
-4.6568269     4.7700203
-1.3681354     1.7951969
-1.5376661     3.5587514
-4.5494046     1.6011949
2.4994097     -3.6700397
4.8236056     -4.0464483
-2.1732671     3.0211147
-4.2244297     1.2738434
-4.9190609     1.8028706
0.33933108     -0.61333168
-3.0044878     -3.6199867
-1.1766706     2.6242128
-4.5952889     -2.4704403
0.047709947     3.2260495
4.8172312     3.2345541
-1.9817269     -4.5205571
-2.521524     0.44056102
3.8772613     -1.5616046
-4.6673143     -3.3712788
3.7736391     -2.8969813
-2.2724696     -0.075580114
-2.7658006     -0.096985036
4.5494337     1.5196867
2.5750364     -0.64754314
0.52881208     -4.4684743
-1.7748926     -0.95018616
4.0843361     3.0913724
-2.417041     -3.7015347
-0.066731494     -1.2149957
2.1846995     -2.1219502
1.2343558     3.1187398
-1.8749202     -1.1428948
-1.5607025     3.1576906
1.6928514     -1.2058116
-0.415031     -1.9638603
4.1056499     -0.11382285
2.557899     -3.9193808
-1.0641015     3.7018677
-1.3913929     4.1711792
Using Farey_fractions: -44.526391
Using long double: -44.526389
