Values: 
First vector      Second vector
-3.64523     3.3500859
4.6886777     -2.7896596
-1.9183295     0.47220596
-3.1161802     4.928813
4.9646133     4.6769494
2.2583896     4.8110969
-3.9013825     2.9810586
-2.0297055     -4.9521652
-3.8753548     1.3976336
3.7843065     0.036626777
2.9792862     -1.38706
-2.8807567     1.8135954
-1.0126148     2.4064724
-0.25241319     -0.77912319
-3.2613483     -1.9808687
2.9727992     -1.8344956
3.7242882     -3.5088602
4.9406849     3.2190326
-3.7481724     2.6375001
-0.094109604     1.6360552
-3.7410337     -2.8979093
-4.4878357     -4.6355875
-0.91268839     -0.42010845
-0.12431073     2.9397497
4.2087479     3.0753103
2.0577425     -4.9718157
2.1070388     1.4396096
-0.43967176     2.7391713
0.73754667     3.7675742
3.0817549     -4.822261
3.2124599     3.2084078
4.4007403     -0.87333485
-0.76834884     0.80956678
-3.4194242     2.6173121
-2.6984394     3.0973455
4.885216     -1.6755172
-2.0016829     -4.8646087
-2.8276216     4.0736472
3.4846779     4.5501757
2.7889771     4.8745963
-4.3240462     2.9359758
0.94503561     2.3279873
1.9523288     1.7981979
-1.0767953     0.61557442
-2.9193194     0.27371459
-0.95791482     -1.4723759
0.92823879     -1.4365484
4.6496637     -3.4556158
-1.0509179     -1.1270409
2.2695472     -1.1143019
4.2749284     -0.63882435
3.6267819     1.2036001
-3.8045282     -0.28043198
-1.597803     0.29841988
2.1610071     4.883794
2.2049346     4.1257749
0.054985053     0.58268756
0.031900211     -0.37525794
0.46591962     -0.52415598
3.5445099     1.0423148
-0.014558136     4.799256
-4.6568269     4.7700203
-1.3681354     1.7951969
-1.5376661     3.5587514
-4.5494046     1.6011949
2.4994097     -3.6700397
4.8236056     -4.0464483
-2.1732671     3.0211147
-4.2244297     1.2738434
-4.9190609     1.8028706
0.33933108     -0.61333168
-3.0044878     -3.6199867
-1.1766706     2.6242128
-4.5952889     -2.4704403
0.047709947     3.2260495
4.8172312     3.2345541
-1.9817269     -4.5205571
-2.521524     0.44056102
3.8772613     -1.5616046
-4.6673143     -3.3712788
3.7736391     -2.8969813
-2.2724696     -0.075580114
-2.7658006     -0.096985036
4.5494337     1.5196867
2.5750364     -0.64754314
0.52881208     -4.4684743
-1.7748926     -0.95018616
4.0843361     3.0913724
-2.417041     -3.7015347
-0.066731494     -1.2149957
2.1846995     -2.1219502
1.2343558     3.1187398
-1.8749202     -1.1428948
-1.5607025     3.1576906
1.6928514     -1.2058116
-0.415031     -1.9638603
4.1056499     -0.11382285
2.557899     -3.9193808
-1.0641015     3.7018677
-1.3913929     4.1711792
0.43805503     -3.5985616
-3.0012713     4.4892509
4.9010995     -2.5992405
-4.8347942     -1.1138483
2.7968937     -0.23361928
0.40138006     -4.8154916
4.001832     -3.0550462
3.8599812     -0.58776536
-3.5217099     -2.6049754
2.9965318     -0.2698494
-4.1017684     1.4455053
1.3306366     0.84382233
2.2665438     -1.4536187
1.8040664     2.0732152
-3.3767148     -3.6626362
-0.50443928     -4.5794587
2.9736411     -3.3244421
3.3121429     -1.7503646
1.557799     -0.79810048
2.8190915     -3.8680746
4.9353472     -3.1842702
2.6293142     -2.3407935
-2.5586174     -3.9926151
-1.5567208     -2.1837266
4.6864038     -2.8622726
1.0592821     -2.7344868
-3.100945     -0.98428522
-0.86709369     -3.2984772
-2.0094818     1.3646857
-3.4842584     2.6924318
3.839686     4.5922161
-4.8193373     0.82846385
2.6685409     -1.7220223
-3.7093384     -2.0803922
3.4710965     -2.6923561
0.019743855     -4.984021
-4.874612     -2.1341342
-4.0130096     -1.1524479
-1.4465131     2.1997094
-4.3455494     0.13859186
-0.76021667     1.8980126
-2.4605689     -0.98480441
-2.3552345     4.3425059
-0.27474759     1.1091619
-0.11598114     0.14519567
-2.5498075     -1.6699476
0.023623763     0.96057934
-1.89844     4.6299752
-2.6759965     2.4690421
-1.7746704     -1.8176786
4.5247203     0.34721046
3.7180515     4.3460265
1.6711408     -2.1031059
-4.3447554     -2.6811138
2.0472372     -3.048926
-0.77781611     4.3605506
-3.577828     1.43181
-0.27267861     -0.63067089
-2.5568036     0.059194152
4.0694409     -4.2349603
2.1390392     1.1720492
-3.1091581     -1.0301819
-2.2233594     3.580993
4.0893657     1.1727908
-3.191813     0.1502372
3.2463171     -1.4067556
3.1611702     -2.0661176
-3.2788219     -0.072104127
-3.0467523     3.6430749
-2.9580283     1.1627228
3.7805055     -1.0753091
4.4657726     -3.3330173
4.718774     0.63964895
0.98368912     -3.6877815
0.66777395     0.54380271
-1.8951004     -3.7935107
2.3779082     -2.5727635
3.2285915     -3.1452403
-1.8732306     3.8172541
1.7421295     2.3929756
-4.3745676     -3.6843844
-4.1004709     -4.9168555
-0.43489588     1.3430332
0.29762992     -0.021305715
-1.642021     -2.4717665
-2.6632456     -3.2683697
0.9598103     2.2689314
3.7757309     2.0715973
-2.652344     -0.22004254
-4.8178824     2.473312
1.5472358     -4.2193306
-0.27230899     4.9647507
0.32097522     3.9943601
2.7290093     -2.962403
4.0710862     -1.2518744
3.4808889     -1.7330075
-1.7326334     1.5921062
0.86764982     -4.510168
2.6996567     -0.08247829
-0.11815985     -0.70873429
-1.0527228     2.764538
4.7475439     2.4850516
1.34502     -4.2781974
1.333633     0.28920633
-2.0383235     -1.7467213
1.3111992     4.9450542
0.16047827     2.2445391
-2.5442525     -1.6766088
2.4860912     1.8296649
1.8127137     -4.2115763
-0.41063712     1.9814686
-4.3211517     -4.3085995
0.27042818     -2.379512
-0.16624838     -3.6919454
-4.0555923     -3.7961832
